author,title,date_publication,nb_tokens,src
DeBozes,LArbreAnthropophage,1934,1550,https://gallica.bnf.fr/ark:/12148/bpt6k9116421r/f6.item.zoom
Delines,CommentLeMondeFinira,1903,2572,https://gallica.bnf.fr/ark:/12148/bpt6k4638908z
Derennes,LePeupleDuPole,1907,51008,https://gallica.bnf.fr/ark:/12148/bpt6k317023k
Derys,LAmourAParisEn2024,1924,1932,https://gallica.bnf.fr/ark:/12148/bpt6k967066j/f15.image
Derys,LEssenceDeBaiser,1898,1140,https://gallica.bnf.fr/ark:/12148/bpt6k7527060m
Epheyre,LeMicrobeDuProfesseurBakermannRecitDesTempsFuturs,1890,7114,https://gallica.bnf.fr/ark:/12148/bpt6k2148218/f101.item
ErckmannChatrian,LAraigneeCrabe,1860,4736,https://gallica.bnf.fr/ark:/12148/bpt6k65669461/f349.image
Eyraud,VoyageAVenus,1865,53376,https://gallica.bnf.fr/ark:/12148/bpt6k5787133s
Farrere,LaMaisonDesHommesVivants,1911,42302,https://archive.org/details/lamaisondeshomme00farr
Ferry,UnRomanEn1915,1888,71952,https://gallica.bnf.fr/ark:/12148/bpt6k69080v
Flammarion,LaFinDuMonde,1894,72082,https://gallica.bnf.fr/ark:/12148/btv1b8600231s/f109.image
Flammarion,Lumen,1873,46959,https://gallica.bnf.fr/ark:/12148/bpt6k86305938
Flammarion,Uranie,1889,52343,https://gallica.bnf.fr/ark:/12148/bpt6k850873v
Fonvielle,FalempinOuLEspionAerien,1884,70001,https://gallica.bnf.fr/ark:/12148/bpt6k5659745m
Forest,OnVoleDesEnfantsAParis,1909,140715,https://gallica.bnf.fr/ark:/12148/bpt6k1489339
France,LIleDesPingouins,1908,82187,https://gallica.bnf.fr/ark:/12148/bpt6k66343r
France,MPigeonneau,1887,4565,https://gallica.bnf.fr/ark:/12148/bpt6k229516h
France,SurLaPierreBlanche,1904,50161,https://gallica.bnf.fr/ark:/12148/bpt6k101910k
Franklin,LesRuinesDeParisEn4875DocumentsOfficielsEtInedits,1875,8200,https://gallica.bnf.fr/ark:/12148/bpt6k5813428k
Gallet,LaMortDeParis,1892,2885,https://gallica.bnf.fr/ark:/12148/bpt6k35983s
Galopin,LeBacille,1927,39873,https://gallica.bnf.fr/ark:/12148/bpt6k2045425
Galopin,LeDocteurOmegaAventuresFantastiquesDeTroisFrancaisDansLaPlaneteMars,1906,50297,https://gallica.bnf.fr/ark:/12148/bpt6k5824800g
GastonPastre,LesPiratesDeLaHanse,1936,35860,https://gallica.bnf.fr/ark:/12148/bpt6k5423383r
Gautier,LeDesirePremiereTraverseeDUnBateauSousmarin,1890,6094,https://gallica.bnf.fr/ark:/12148/bpt6k57415477
Ginisty,Chronique,1893,1223,https://gallica.bnf.fr/ark:/12148/bpt6k7567029x/f1.item
Goudeau,LaRevolteDeLaMachine,1887,2572,https://gallica.bnf.fr/ark:/12148/bpt6k5437405d/f7.image
Graffigny,LaConqueteDuPole,1885,11310,https://gallica.bnf.fr/ark:/12148/bpt6k111704c
Graffigny,LesExploitsDeBarbacane,1885,8258,https://gallica.bnf.fr/ark:/12148/bpt6k111704c
Graffigny,QuatreJoursEnBallon,1885,5792,https://gallica.bnf.fr/ark:/12148/bpt6k111704c
Gros,UnVolcanDansLesGlaces,1879,68298,https://gallica.bnf.fr/ark:/12148/bpt6k61486374
Grousset,LeReveDUnIrreconciliable,1869,5314,https://gallica.bnf.fr/ark:/12148/bpt6k207919v
Haraucourt,LaFinDuMonde,1893,11755,https://gallica.bnf.fr/ark:/12148/btv1b8600231s/f109.image
Ivoi,JeanFanfare,1897,142769,https://gallica.bnf.fr/ark:/12148/bpt6k5773946n
Ivoi,LeCorsaireTriplex,1898,141486,https://gallica.bnf.fr/ark:/12148/bpt6k11747460
Ivoi,LeDocteurMystere,1900,136507,https://gallica.bnf.fr/ark:/12148/bpt6k61575637?rk=21459;2
Ivoi,LesCinqSousDeLavarede,1894,144292,https://gallica.bnf.fr/ark:/12148/bpt6k5489234f
Jacqueline,ScenesDeLaVieFuture,1935,1838,https://gallica.bnf.fr/ark:/12148/bpt6k54203758/f69.item
Jarry,GestesEtOpinionsDuDocteurFaustroll,1911,61037,https://gallica.bnf.fr/ark:/12148/bpt6k113964m
Jarry,LeSurmale,1902,29811,https://gallica.bnf.fr/ark:/12148/bpt6k1139650
JehinPrume,LesAventuresExtraordinairesDeDeuxCanayens,1918,39444,https://archive.org/stream/cihm_81621#page/n5/mode/2up
Kolney,LAmourDansCinqMilleAns,1905,67458,https://gallica.bnf.fr/ark:/12148/bpt6k618119
Kystemaeckers,AeropolisRomanComiqueDeLaVieAerienne,1909,35644,https://gallica.bnf.fr/ark:/12148/bpt6k9763361t
Lamothe,LeCapAuxOurs,1878,117404,https://gallica.bnf.fr/ark:/12148/bpt6k5828920t/f7.image.r=bl%C3%A9riot+manche.langFR
Laurie,Atlantis,1895,69585,https://gallica.bnf.fr/ark:/12148/bpt6k57138279
Laurie,LesExilesDeLaTerre,1888,119573,https://gallica.bnf.fr/ark:/12148/bpt6k5750912c
Leblanc,LeFormidableEvenement,1920,55631,https://gallica.bnf.fr/ark:/12148/bpt6k80796d
Leblanc,LIleAuxTrenteCercueils,1919,92768,https://fr.wikisource.org/wiki/L%E2%80%99%C3%8Ele_aux_trente_cercueils
