auteur,titre,date_publication,nb_tokens
Maisonneuve,1893MoeursDeDemain,1882,71913
Marx,LAmourEnMilleAnsDIci,1889,9170
Masson,UtopieDesIlesBienheureusesDansLePacifiqueEnLAn1980,1921,39573
Matthis,PiqueTotoLaPaixEtLaGuerre,1888,19421
Meaulle,LeRobinsonDesAirs,1889,42992
Melandri,LesHommesLuisants,1882,1082
Mendes,AuVingtEtUniemeSiecle,1884,477
Meric,LeCrimeDesVieux,1927,77316
Mille,DansTroisCentsAns,1922,5395
Mille,HistoireFuturiste,1919,1308
Minhar,AuSoleilDeLAvenir,1897,1903
Minhar,PagesQuietesLesJoiesFutures,1894,1419
Montegut,AutrePlanete,1899,1920
Moselli,LaPrisonDeGlace,1919,76800
Mouton,LHistorioscope,1882,9098
Mullem,LaPhilanthropophagie,1890,3619
Mullem,LeProgresSupremeContePsychopathique,1894,7194
Mullem,LExpressTimes,1890,1659
Neulif,LUthopieContemporaineNotesDeVoyage,1886,79638
Nube,LeLampalagua,1928,1653
OMonroy,LeConstatElectrique,1891,1573
Oudot,LaGrandeEpreuve,1912,1088
Paquin,LaCiteDansLesFers,1926,57206
Parville,UnHabitantDeLaPlaneteMars,1865,42774
Patrice,AuPoleEnBallonVoyage,1885,92474
Pawlowski,LaFailliteDeLaScience,1899,468
Pawlowski,UnVisionnaire,1908,1287
Pellerin,LeMondeDansDeuxMilleAns,1878,67369
Pericard,EtesVousMacaisteHistoireMartienne,1920,936
Peslouan,LEtrangeMenaceDuProfesseurIouchkoff,1931,15812
Petithuguenin,UneMissionInternationalDansLaLune,1926,33611
Pig,LaFemmeArtificielle,1887,19521
Polane,LaFinDuMonde,1913,1142
Prat,VoyagesEtAventuresDAlmanarre,1876,81754
Price,LaMineDOrInfernale,1920,72343
Price,LesChasseursDEpaves,1898,92713
Price,LesHuitCentsDoublonsDeSpringfield,1895,14661
Price,LesTroisDisparusDuSirius,1896,57850
Quirielle,LesVoleursDeCerveaux,1920,45496
Rameau,InTheWorld,1930,1628
Rameau,LaVieElectrique,1887,958
Rameau,MoeursFutures,1887,850
Rameau,UnEmpoisonnementAuXXIeSiecle,1887,1098
Renard,Avenir,1927,972
Renard,LaMerveilleuseEnigme,1928,1151
Renard,LAn2000,1938,1065
Renard,LesMainsDOrlac,1920,78860
Revoil,LArbreAnthropophageSouvenirsDeMadagascar,1878,2306
Richepin,LaCiteDesGemmes,1896,1953
Richepin,LAileRomanDesTempsNouveaux,1911,93749
Richepin,LaRitournelle,1891,1317
Richepin,LeDernierInventeur,1889,1466
Richepin,LeNouvelExplosif,1900,1480
Richepin,LePerroquet,1896,1870
Richepin,UnLegs,1899,1700
Richepin,VieuxNeuf,1899,1296
Robida,JadisChezAujourdhui,1892,10131
Robida,LAutomobilismeEn1950,1908,866
Robida,LeVingtiemeSiecle,1883,111293
Rod,LAutopsieDuDocteurZ,1884,8220
Roger,AventuresExtraordinairesDeTrinitusVoyageSousLesFlotsRedigeDApresLeJournalDeBordDeLEclair,1868,44358
Rosny,LaContreeProdigieuseDesCavernes,1896,8321
Rosny,LaForceMysterieuse,1913,39354
Rosny,LaMortDeLaTerre,1910,23992
Rosny,LesXipehuz,1887,9585
Rosny,Nymphee,1893,11168
Rosny,Tornadres,1888,4325
Rosny,UnAutreMonde,1895,10859
Roulier,LaGrandeDecouverteDuSavantIsobard,1938,1823
Rouzade,VoyageDeTheodoseALIleDUtopie,1872,34377
Royet,ADeuxDoigtsDeLaFinDuMonde,1928,49727
Schwob,LaMachineAParler,1891,1486
Semant,LeDernierRaidDeNellySanderson,1906,104981
Silvestre,LAntiposterite,1887,1562
Silvestre,LeLunium,1888,1248
Silvestre,LeSecretDuDocteur,1880,1772
Silvestre,LeStigmate,1887,2037
Silvestre,Mamillana,1888,1638
Soudan,ATatons,1881,2669
Soudan,LaCometeLaLuneEtLaTerre,1884,1353
Soudan,ProphetiesElectriques,1884,2418
Tarde,FragmentDHistoireFuture,1896,22440
Tarde,LesGeantsChauves,1871,7034
Toudouze,LesSousMarinsFantomes,1921,56159
Uzanne,DansCentAns,1900,507
Uzanne,LaFinDesLivres,1895,5458
Valona,ConfreresEnnemis,1896,17954
Vautel,LaVieEnNoir,1919,2133
Vautel,LeFeminismeEn1958,1918,2838
Verne,AutourDeLaLune,1870,59126
Verne,AuXXIXeSiecleLaJourneeDUnJournalisteAmericainEn2889,1889,5796
Verne,CinqSemainesEnBallon,1863,84960
Verne,ClaudiusBombarnac,1892,79668
Verne,FaceAuDrapeau,1892,64183
Verne,LaChasseAuMeteore,1908,135524
Verne,LaFantaisieDuDocteurOx,1872,20302
Verne,LaMaisonAVapeur,1880,125593
Verne,LesCinqCentsMillionsDeLaBegum,1879,54911
Verne,LeSphinxDesGlaces,1897,126247
Verne,LIleAHelice,1895,123053
Verne,LInvasionDeLaMer,1905,63905
Verne,MaitreDuMonde,1904,52800
Verne,ParisAuXXeSiecle,1863,48789
Verne,RoburLeConquerant,1886,62864
Verne,SansDessusDessous,1889,51445
Verne,UnExpressDeLAvenir,1888,1615
Verne,VingtMilleLieuesSousLesMers,1869,149934
Verne,VoyageAuCentreDeLaTerre,1864,71909
Verne,VoyagesEtAventuresDuCapitaineHatteras,1867,141668
Veron,EncoreLaFinDuMonde,1888,946
Veron,LeDelugeAParis,1861,1502
Veron,LeJournalDuDernierRobinson,1861,1680
Veron,LeRaccommodeurDeCervelles,1888,2479
Veron,MonsieurPersonne,1864,27094
Veron,UnePredictionPhotographique,1861,1276
Vombal,LImmortel,1908,6201
Willy,LInvention,1895,783
Zola,Travail,1900,211452
